quote, author
"A coward is incapable of exhibiting love; it is the prerogative of the brave.", Mahatma Gandhi
"A man never tells you anything until you contradict him.", George Bernard Shaw
"Bad artists copy. Great artists steal.", Pablo Picasso
"Books serve to show a man that those original thoughts of his aren't very new at all.", Abraham Lincoln
"Deliberate with caution, but act with decision; and yield with graciousness, or oppose with firmness.", Charles Caleb Colton
"Faith is taking the first step even when you don't see the whole staircase.", Martin Luther King Jr.
"Fear is pain arising from the anticipation of evil.", Aristotle 
"Humor is the most engaging cowardice.", Robert Frost
"I care not what others think of what I do, but I care very much about what I think of what I do. That is character!", Theodore Roosevelt
"I despise people who go to the gutter on either the right or the left and hurl rocks at those in the center.", Dwight Eisenhower
"I don't intellectually understand you people. I don't understand your hate, I don't understand your rage, I don't understand what it is about the goodness of this country you can't abide.", Rush Limbaugh
"I planted some bird seed. A bird came up. Now I don't know what to feed it.", Steven Wright
"Inside of a ring or out, ain't nothing wrong with going down. It's staying down that's wrong.", Muhammad Ali
"Many interviewers when they come to talk to me, think they're being progressive by not mentioning in their stories any longer that I'm black. I tell them, 'Don't stop now. If I shot somebody you'd mention it.'", Colin Powell
"Many that live deserve death. And some die that deserve life. Can you give it to them? Then be not too eager to deal out death in the name of justice, fearing for your own safety. Even the wise cannot see all ends.", J.R.R. Tolkien
"Marriage is the only adventure open to the cowardly.", Francois Marie Arouet (Voltaire)
"Politics is perhaps the only profession for which no preparation is thought necessary.", Robert Louis Stevenson
"Religion is all bunk.", Thomas Edison
"Speech is conveniently located midway between thought and action, where it often substitutes for both.", John Andrew Holmes
"The Internet: Transforming Society and Shaping the Future Through Chat.", Dave Barry
"The best argument against democracy is a five-minute conversation with the average voter.", Winston Churchill
"The only right way of telling a story is to begin at the beginning--at the beginning of the world. Therefore all books have to be begun in the wrong way for the sake of brevity.", GK Chesterton
"The price good men pay for indifference to public affairs is to be ruled by evil men.", Plato 
"To forbid the making of pictures about God would be to forbid thinking about God at all, for man is so made that he has no way to think except in pictures.", Dorothy Sayers
"To know the pains of power, we must go to those who have it; to know its pleasures, we must go to those who are seeking it.", Charles Caleb Colton
